residue,max_run_1s,max_run_0s,hamming_weight,alternation_score,trailing_ones,trailing_zeros_3n1,mod_3,mod_9,mod_27,bit_entropy,avg_odd_mult,leading_ones,leading_zeros,trailing_zeros,longest_alternating_run,block_count,run_length_entropy,binary_compressibility,max_run_0s_dup,count,avg_steps,avg_peak,avg_v2
1,1.0000,9.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,0.4690,0.9356,0.0000,9.0000,0.0000,2.0000,2.0000,0.4690,5.0000,9.0000,48829,114.7157,46499939.6961,0.0000
3,2.0000,8.0000,2.0000,1.0000,2.0000,1.0000,0.0000,3.0000,3.0000,0.7219,0.9498,0.0000,8.0000,0.0000,2.0000,2.0000,0.7219,5.0000,8.0000,48829,114.7158,60330669.3491,0.0000
5,1.0000,7.0000,2.0000,3.0000,1.0000,4.0000,2.0000,5.0000,5.0000,0.7219,0.9198,0.0000,7.0000,0.0000,4.0000,4.0000,1.3568,2.5000,7.0000,48829,107.1131,32197632.9629,0.0000
7,3.0000,7.0000,3.0000,1.0000,3.0000,1.0000,1.0000,7.0000,7.0000,0.8813,0.9544,0.0000,7.0000,0.0000,2.0000,2.0000,0.8813,5.0000,7.0000,48829,114.7159,77756920.9457,0.0000
9,1.0000,6.0000,2.0000,3.0000,1.0000,2.0000,0.0000,0.0000,9.0000,0.7219,0.9678,0.0000,6.0000,0.0000,3.0000,4.0000,1.5710,2.5000,6.0000,48829,122.2665,198962230.4774,0.0000
11,2.0000,6.0000,3.0000,3.0000,2.0000,1.0000,2.0000,2.0000,11.0000,0.8813,0.9337,0.0000,6.0000,0.0000,4.0000,4.0000,1.5710,2.5000,6.0000,48829,107.1132,44259253.5078,0.0000
13,2.0000,6.0000,3.0000,3.0000,1.0000,3.0000,1.0000,4.0000,13.0000,0.8813,0.9225,0.0000,6.0000,0.0000,3.0000,4.0000,1.5710,2.5000,6.0000,48829,107.1873,32823515.9132,0.0000
15,4.0000,6.0000,4.0000,1.0000,4.0000,1.0000,0.0000,6.0000,15.0000,0.9710,0.9696,0.0000,6.0000,0.0000,2.0000,2.0000,0.9710,5.0000,6.0000,48829,114.8660,142730046.6748,0.0000
17,1.0000,5.0000,2.0000,3.0000,1.0000,2.0000,2.0000,8.0000,17.0000,0.7219,0.9225,0.0000,5.0000,0.0000,3.0000,4.0000,1.6855,2.5000,5.0000,48829,107.1873,32823519.7367,0.0000
19,2.0000,5.0000,3.0000,3.0000,2.0000,1.0000,1.0000,1.0000,19.0000,0.8813,0.9541,0.0000,5.0000,0.0000,3.0000,4.0000,1.7610,2.5000,5.0000,48829,114.7572,63142907.8096,0.0000
