residue,max_run_1s,max_run_0s,hamming_weight,alternations,trailing_ones,tz_3n1,mod3,mod9,mod27,entropy,avg_odd_mult,count,avg_stopping_time,avg_v2,avg_peak
1,1,9,1,1,1,2,1,1,1,0.468996,0.935612,48829,114.716,2,9.29472e+007
3,2,8,2,1,2,1,0,3,3,0.721928,0.94982,48829,114.716,1,9.55743e+007
5,1,7,2,3,1,4,2,5,5,0.721928,0.919848,48829,107.113,4,8.10225e+007
7,3,7,3,1,3,1,1,7,7,0.881291,0.954433,48829,114.716,1,9.55743e+007
9,1,6,2,3,1,2,0,0,9,0.721928,0.96778,48829,122.266,2,2.26153e+008
11,2,6,3,3,2,1,2,2,11,0.881291,0.933725,48829,107.113,1,8.10225e+007
13,2,6,3,3,1,3,1,4,13,0.881291,0.922458,48829,107.187,3,8.16468e+007
15,4,6,4,1,4,1,0,6,15,0.970951,0.969602,48829,114.866,1,1.4273e+008
17,1,5,2,3,1,2,2,8,17,0.721928,0.922461,48829,107.187,2,8.16468e+007
19,2,5,3,3,2,1,1,1,19,0.881291,0.954134,48829,114.757,1,9.836e+007
21,1,5,3,5,1,6,0,3,21,0.881291,0.911627,48829,99.6495,6,7.63032e+007
23,3,5,4,3,3,1,2,5,23,0.970951,0.947912,48829,107.187,1,8.16468e+007
25,2,5,3,3,1,2,1,7,25,0.881291,0.968418,48829,122.554,2,1.58961e+008
27,2,5,4,3,2,1,0,0,0,0.970951,1.00816,48829,137.759,1,9.28661e+008
29,3,5,4,3,1,3,2,2,2,0.970951,0.945963,48829,114.917,3,9.68963e+007
31,5,5,5,1,5,1,1,4,4,1,1.00775,48829,137.54,1,1.03439e+009
33,1,4,2,3,1,2,0,6,6,0.721928,0.967805,48829,122.353,2,1.45795e+008
35,2,4,3,3,2,1,2,8,8,0.881291,0.923641,48829,99.6496,1,7.63033e+007
37,1,4,3,5,1,4,1,1,10,0.881291,0.955358,48829,114.827,4,9.66795e+007
39,3,4,4,3,3,1,0,3,12,0.970951,0.978871,48829,122.426,1,1.61279e+008
41,1,4,3,5,1,2,2,5,14,0.881291,0.991017,48829,130.036,2,3.52195e+008
43,2,4,4,5,2,1,1,7,16,0.970951,0.949472,48829,114.618,1,9.7132e+007
45,2,4,4,5,1,3,0,0,18,0.970951,0.915826,48829,107.267,3,8.20579e+007
47,4,4,5,3,4,1,2,2,20,1,0.991005,48829,129.907,1,4.42579e+008
49,2,4,3,3,1,2,1,4,22,0.881291,0.955903,48829,114.914,2,9.78715e+007
51,2,4,4,3,2,1,0,6,24,0.970951,0.951906,48829,114.914,1,9.78715e+007
53,2,4,4,5,1,5,2,8,26,0.970951,0.910871,48829,99.7464,5,7.67279e+007
55,3,4,5,3,3,1,1,1,1,1,0.997778,48829,130.021,1,7.42548e+008
57,3,4,4,3,1,2,0,3,3,0.970951,0.946307,48829,114.656,2,1.01929e+008
59,3,4,5,3,2,1,2,5,5,1,0.978981,48829,122.195,1,1.50822e+008
61,4,4,5,3,1,3,1,7,7,1,0.950897,48829,107.436,3,7.94698e+007
63,6,4,6,1,6,1,0,0,9,0.970951,1.00277,48829,129.77,1,6.28591e+008
65,1,5,2,3,1,2,2,2,11,0.721928,0.9501,48829,114.967,2,9.86979e+007
67,2,4,3,3,2,1,1,4,13,0.881291,0.958097,48829,114.967,1,9.86979e+007
69,1,3,3,5,1,4,0,6,15,0.881291,0.899149,48829,99.7464,4,7.67279e+007
71,3,3,4,3,3,1,2,8,17,0.970951,0.986487,48829,129.928,1,4.05306e+008
73,1,3,3,5,1,2,1,1,19,0.881291,0.993543,48829,130.166,2,4.50577e+008
75,2,3,4,5,2,1,0,3,21,0.970951,0.938983,48829,99.7464,1,7.6728e+007
77,2,3,4,5,1,3,2,5,23,0.970951,0.945659,48829,114.657,3,9.83043e+007
79,4,3,5,3,4,1,1,7,25,1,0.967476,48829,114.51,1,1.07908e+008
81,1,3,3,5,1,2,0,0,0,0.881291,0.954265,48829,114.657,2,9.83044e+007
83,2,3,4,5,2,1,2,2,2,0.970951,0.993048,48829,130.106,1,3.57604e+008
85,1,3,4,7,1,8,1,4,4,0.970951,0.903924,48829,92.2259,8,7.57445e+007
87,3,3,5,5,3,1,0,6,6,1,0.947471,48829,107.34,1,8.10748e+007
89,2,3,4,5,1,2,2,8,8,0.970951,0.9557,48829,114.951,2,9.3715e+007
91,2,3,5,5,2,1,1,1,10,1,1.00779,48829,137.388,1,1.22397e+009
93,3,3,5,5,1,3,0,3,12,1,0.938622,48829,107.33,3,8.02454e+007
95,5,3,6,3,5,1,2,5,14,0.970951,1.00284,48829,129.882,1,3.62755e+008
97,2,4,3,3,1,2,1,7,16,0.881291,0.968596,48829,122.43,2,1.66758e+008
99,2,3,4,3,2,1,0,0,18,0.970951,0.978944,48829,114.98,1,9.87901e+007
101,2,3,4,5,1,4,2,2,20,0.970951,0.95792,48829,114.98,4,9.87901e+007
103,3,3,5,3,3,1,1,4,22,1,1.00811,48829,137.763,1,1.06241e+009
105,2,3,4,5,1,2,0,6,24,0.970951,0.973361,48829,122.456,2,1.37655e+008
107,2,3,5,5,2,1,2,8,26,1,0.986651,48829,130.138,1,4.29499e+008
109,2,3,5,5,1,3,1,1,1,1,0.99294,48829,129.988,3,7.47857e+008
111,4,3,6,3,4,1,0,3,3,0.970951,1.00773,48829,137.427,1,9.25785e+008
113,3,3,4,3,1,2,2,5,5,0.970951,0.912659,48829,92.2259,2,7.57446e+007
115,3,3,5,3,2,1,1,7,7,1,0.944127,48829,115.055,1,9.1257e+007
117,3,3,5,5,1,5,0,0,9,1,0.935907,48829,107.359,5,7.96991e+007
119,3,3,6,3,3,1,2,2,11,0.970951,0.958024,48829,114.809,1,9.61176e+007
121,4,3,5,3,1,2,1,4,13,1,0.986376,48829,129.89,2,5.69895e+008
123,4,3,6,3,2,1,0,6,15,0.970951,0.968158,48829,122.361,1,1.38382e+008
125,5,3,6,3,1,3,2,8,17,0.970951,0.973134,48829,122.462,3,1.52318e+008
127,7,3,7,1,7,1,1,1,19,0.881291,1.01243,48829,137.732,1,3.61191e+009
129,1,6,2,3,1,2,0,3,21,0.721928,0.966818,48828,122.645,2,1.4369e+008
131,2,5,3,3,2,1,2,5,23,0.881291,0.936194,48828,107.391,1,8.09387e+007
133,1,4,3,5,1,4,1,7,25,0.881291,0.932468,48828,107.391,4,8.09387e+007
135,3,4,4,3,3,1,0,0,0,0.970951,0.979162,48828,122.542,1,5.59735e+008
137,1,3,3,5,1,2,2,2,2,0.881291,1.00834,48828,137.879,2,1.41819e+009
139,2,3,4,5,2,1,1,4,4,0.970951,0.968294,48828,122.661,1,1.39818e+008
141,2,3,4,5,1,3,0,6,6,0.970951,0.903658,48828,99.9285,3,7.64617e+007
143,4,3,5,3,4,1,2,8,8,1,0.98422,48828,122.421,1,1.62829e+008
145,1,3,3,5,1,2,1,1,10,0.881291,0.968312,48828,122.332,2,1.81546e+008
147,2,2,4,5,2,1,0,3,12,0.970951,0.975552,48828,122.332,1,1.81546e+008
149,1,2,4,7,1,6,2,5,14,0.970951,0.952682,48828,107.194,6,7.88337e+007
151,3,2,5,5,3,1,1,7,16,1,0.959672,48828,99.9285,1,7.64617e+007
153,2,2,4,5,1,2,0,0,18,0.970951,0.944153,48828,115.117,2,9.48589e+007
155,2,2,5,5,2,1,2,2,20,1,0.99143,48828,130.233,1,5.41725e+008
157,3,2,5,5,1,3,1,4,22,1,0.954281,48828,114.75,3,9.787e+007
159,5,2,6,3,5,1,0,6,24,0.970951,1.02613,48828,145.339,1,2.92477e+009
161,1,4,3,5,1,2,2,8,26,0.881291,0.987042,48828,130.347,2,3.39431e+008
163,2,3,4,5,2,1,1,1,1,0.970951,0.969146,48828,114.605,1,9.49728e+007
165,1,2,4,7,1,4,0,3,3,0.970951,0.983821,48828,122.304,4,1.45481e+008
167,3,2,5,5,3,1,2,5,5,1,1.00788,48828,137.523,1,1.00179e+009
169,1,2,4,7,1,2,1,7,7,0.970951,1.01232,48828,137.839,2,1.18894e+009
171,2,2,5,7,2,1,0,0,9,1,0.946331,48828,114.809,1,9.52359e+007
173,2,2,5,7,1,3,2,2,11,1,0.919029,48828,107.321,3,8.06733e+007
175,4,2,6,5,4,1,1,4,13,0.970951,0.993135,48828,130.259,1,2.41435e+009
177,2,3,4,5,1,2,0,6,15,0.970951,0.949905,48828,114.809,2,9.46018e+007
179,2,2,5,5,2,1,2,8,17,1,0.957913,48828,114.809,1,9.46018e+007
181,2,2,5,7,1,5,1,1,19,1,0.907169,48828,99.9312,5,7.69122e+007
183,3,2,6,5,3,1,0,3,21,0.970951,0.992632,48828,129.711,1,4.051e+008
