residue,count,avg_steps,avg_v2,avg_log_drift,avg_odd_mult,theoretical_drift
1,24415,118.3532,2.0761,-0.3405,0.9437,-0.2877
3,24415,110.7649,2.1307,-0.3783,0.9362,-0.2877
5,24415,110.9390,2.1293,-0.3773,0.9304,-0.2877
7,24415,110.7651,2.1307,-0.3783,0.9492,-0.2877
9,24415,118.3824,2.0757,-0.3401,0.9565,-0.2877
11,24415,110.9393,2.1292,-0.3773,0.9389,-0.2877
13,24415,103.2011,2.1998,-0.4262,0.9056,-0.2877
15,24415,110.9393,2.1292,-0.3772,0.9627,-0.2877
17,24415,103.2012,2.1998,-0.4262,0.9056,-0.2877
19,24415,118.4479,2.0751,-0.3398,0.9589,-0.2877
21,24415,103.4070,2.1979,-0.4248,0.9242,-0.2877
23,24415,103.2013,2.1998,-0.4262,0.9418,-0.2877
25,24415,118.6356,2.0753,-0.3399,0.9570,-0.2877
27,24415,133.7389,1.9940,-0.2835,1.0002,-0.2877
29,24415,110.9377,2.1283,-0.3766,0.9325,-0.2877
31,24415,133.6710,1.9952,-0.2844,1.0000,-0.2877
33,24415,118.3436,2.0750,-0.3397,0.9568,-0.2877
35,24415,103.4072,2.1977,-0.4247,0.9302,-0.2877
37,24415,110.8102,2.1310,-0.3785,0.9475,-0.2877
39,24415,125.9574,2.0313,-0.3094,0.9895,-0.2877
41,24415,133.5527,1.9957,-0.2847,0.9952,-0.2877
43,24415,118.3258,2.0767,-0.3409,0.9627,-0.2877
45,24415,103.4073,2.1977,-0.4247,0.9050,-0.2877
47,24415,133.7175,1.9940,-0.2835,0.9958,-0.2877
49,24415,118.7023,2.0740,-0.3390,0.9635,-0.2877
51,24415,118.7023,2.0740,-0.3390,0.9597,-0.2877
53,24415,95.8183,2.2885,-0.4877,0.8909,-0.2877
55,24415,133.9731,1.9938,-0.2834,1.0023,-0.2877
57,24415,111.0328,2.1288,-0.3770,0.9417,-0.2877
59,24415,118.4038,2.0758,-0.3402,0.9687,-0.2877
61,24415,111.3213,2.1261,-0.3751,0.9547,-0.2877
63,24415,133.4240,1.9957,-0.2847,1.0113,-0.2877
65,24415,118.6382,2.0741,-0.3391,0.9631,-0.2877
67,24415,118.6382,2.0741,-0.3391,0.9706,-0.2877
69,24415,95.8184,2.2885,-0.4876,0.8887,-0.2877
71,24415,133.5404,1.9960,-0.2849,0.9953,-0.2877
73,24415,133.9592,1.9937,-0.2833,1.0023,-0.2877
75,24415,95.8184,2.2885,-0.4876,0.9346,-0.2877
77,24415,110.9648,2.1296,-0.3775,0.9321,-0.2877
79,24415,118.3319,2.0761,-0.3405,0.9702,-0.2877
81,24415,110.9648,2.1296,-0.3775,0.9493,-0.2877
83,24415,126.0762,2.0320,-0.3099,0.9836,-0.2877
85,24415,96.1805,2.2858,-0.4858,0.9196,-0.2877
87,24415,111.0063,2.1308,-0.3783,0.9512,-0.2877
89,24415,111.0063,2.1308,-0.3783,0.9476,-0.2877
91,24415,141.1541,1.9636,-0.2624,1.0158,-0.2877
93,24415,103.3820,2.1973,-0.4245,0.9230,-0.2877
95,24415,125.8606,2.0323,-0.3101,0.9941,-0.2877
97,24415,126.1002,2.0315,-0.3095,0.9793,-0.2877
99,24415,111.1854,2.1286,-0.3768,0.9676,-0.2877
101,24415,111.1854,2.1286,-0.3768,0.9455,-0.2877
103,24415,133.6662,1.9942,-0.2837,1.0003,-0.2877
105,24415,118.5026,2.0770,-0.3410,0.9673,-0.2877
107,24415,134.1571,1.9931,-0.2829,0.9965,-0.2877
109,24415,126.0158,2.0314,-0.3095,0.9836,-0.2877
111,24415,141.0403,1.9644,-0.2630,1.0151,-0.2877
113,24415,96.1806,2.2857,-0.4857,0.9196,-0.2877
115,24415,110.8991,2.1301,-0.3778,0.9353,-0.2877
117,24415,103.4883,2.1965,-0.4239,0.9266,-0.2877
119,24415,118.3826,2.0756,-0.3401,0.9707,-0.2877
121,24415,133.6457,1.9943,-0.2837,0.9956,-0.2877
123,24415,126.0498,2.0317,-0.3097,0.9792,-0.2877
125,24415,126.0555,2.0322,-0.3100,0.9788,-0.2877
127,24415,133.5459,1.9961,-0.2850,1.0083,-0.2877
129,24414,119.1064,2.0714,-0.3371,0.9615,-0.2877
