n,T_n,v_2,multiplier,log_drift
1001,751,2,0.75025,-0.287349
2001,1501,2,0.750125,-0.287516
3001,2251,2,0.750083,-0.287571
4001,3001,2,0.750062,-0.287599
5001,3751,2,0.75005,-0.287615
6001,4501,2,0.750042,-0.287627
7001,5251,2,0.750036,-0.287634
8001,6001,2,0.750031,-0.28764
9001,6751,2,0.750028,-0.287645
10001,7501,2,0.750025,-0.287649
11001,8251,2,0.750023,-0.287652
12001,9001,2,0.750021,-0.287654
13001,9751,2,0.750019,-0.287656
14001,10501,2,0.750018,-0.287658
15001,11251,2,0.750017,-0.28766
16001,12001,2,0.750016,-0.287661
17001,12751,2,0.750015,-0.287662
18001,13501,2,0.750014,-0.287664
19001,14251,2,0.750013,-0.287665
20001,15001,2,0.750012,-0.287665
21001,15751,2,0.750012,-0.287666
22001,16501,2,0.750011,-0.287667
23001,17251,2,0.750011,-0.287668
24001,18001,2,0.75001,-0.287668
25001,18751,2,0.75001,-0.287669
26001,19501,2,0.75001,-0.287669
27001,20251,2,0.750009,-0.28767
28001,21001,2,0.750009,-0.28767
29001,21751,2,0.750009,-0.287671
30001,22501,2,0.750008,-0.287671
31001,23251,2,0.750008,-0.287671
32001,24001,2,0.750008,-0.287672
33001,24751,2,0.750008,-0.287672
34001,25501,2,0.750007,-0.287672
35001,26251,2,0.750007,-0.287673
36001,27001,2,0.750007,-0.287673
37001,27751,2,0.750007,-0.287673
38001,28501,2,0.750007,-0.287673
39001,29251,2,0.750006,-0.287674
40001,30001,2,0.750006,-0.287674
41001,30751,2,0.750006,-0.287674
42001,31501,2,0.750006,-0.287674
43001,32251,2,0.750006,-0.287674
44001,33001,2,0.750006,-0.287674
45001,33751,2,0.750006,-0.287675
46001,34501,2,0.750005,-0.287675
47001,35251,2,0.750005,-0.287675
48001,36001,2,0.750005,-0.287675
49001,36751,2,0.750005,-0.287675
50001,37501,2,0.750005,-0.287675
51001,38251,2,0.750005,-0.287676
52001,39001,2,0.750005,-0.287676
53001,39751,2,0.750005,-0.287676
54001,40501,2,0.750005,-0.287676
55001,41251,2,0.750005,-0.287676
56001,42001,2,0.750004,-0.287676
57001,42751,2,0.750004,-0.287676
58001,43501,2,0.750004,-0.287676
59001,44251,2,0.750004,-0.287676
60001,45001,2,0.750004,-0.287677
61001,45751,2,0.750004,-0.287677
62001,46501,2,0.750004,-0.287677
63001,47251,2,0.750004,-0.287677
64001,48001,2,0.750004,-0.287677
65001,48751,2,0.750004,-0.287677
66001,49501,2,0.750004,-0.287677
67001,50251,2,0.750004,-0.287677
68001,51001,2,0.750004,-0.287677
69001,51751,2,0.750004,-0.287677
70001,52501,2,0.750004,-0.287677
71001,53251,2,0.750004,-0.287677
72001,54001,2,0.750003,-0.287677
73001,54751,2,0.750003,-0.287678
74001,55501,2,0.750003,-0.287678
75001,56251,2,0.750003,-0.287678
76001,57001,2,0.750003,-0.287678
77001,57751,2,0.750003,-0.287678
78001,58501,2,0.750003,-0.287678
79001,59251,2,0.750003,-0.287678
80001,60001,2,0.750003,-0.287678
81001,60751,2,0.750003,-0.287678
82001,61501,2,0.750003,-0.287678
83001,62251,2,0.750003,-0.287678
84001,63001,2,0.750003,-0.287678
85001,63751,2,0.750003,-0.287678
86001,64501,2,0.750003,-0.287678
87001,65251,2,0.750003,-0.287678
88001,66001,2,0.750003,-0.287678
89001,66751,2,0.750003,-0.287678
90001,67501,2,0.750003,-0.287678
91001,68251,2,0.750003,-0.287678
92001,69001,2,0.750003,-0.287678
93001,69751,2,0.750003,-0.287678
94001,70501,2,0.750003,-0.287679
95001,71251,2,0.750003,-0.287679
96001,72001,2,0.750003,-0.287679
97001,72751,2,0.750003,-0.287679
98001,73501,2,0.750003,-0.287679
99001,74251,2,0.750003,-0.287679
100001,75001,2,0.750002,-0.287679
101001,75751,2,0.750002,-0.287679
102001,76501,2,0.750002,-0.287679
103001,77251,2,0.750002,-0.287679
104001,78001,2,0.750002,-0.287679
105001,78751,2,0.750002,-0.287679
106001,79501,2,0.750002,-0.287679
107001,80251,2,0.750002,-0.287679
108001,81001,2,0.750002,-0.287679
