residue,count,avg_stopping_time,max_stopping_time,avg_v2,avg_peak
1,48829,170.728,699,2,1.395e+008
3,48829,170.728,568,1,1.80992e+008
5,48829,158.328,569,4,9.65929e+007
7,48829,170.728,568,1,2.33271e+008
9,48829,183.043,582,2,5.96887e+008
11,48829,158.329,569,1,1.32778e+008
13,48829,158.449,570,3,9.84705e+007
15,48829,170.973,569,1,4.2819e+008
17,48829,158.449,570,2,9.84706e+007
19,48829,170.796,583,1,1.89429e+008
21,48829,146.156,459,6,8.0148e+007
23,48829,158.45,570,1,1.89609e+008
25,48829,183.512,614,2,3.65058e+008
27,48829,208.31,655,1,2.78598e+009
29,48829,171.056,570,3,1.51371e+008
31,48829,207.954,619,1,3.10317e+009
33,48829,183.184,609,2,3.19832e+008
35,48829,146.156,459,1,1.17196e+008
37,48829,170.91,583,4,1.50834e+008
39,48829,183.304,603,1,4.53629e+008
41,48829,195.714,588,2,1.05659e+009
43,48829,170.57,540,1,1.85593e+008
45,48829,158.579,516,3,9.97182e+007
47,48829,195.504,614,1,1.32774e+009
49,48829,171.052,531,2,1.54415e+008
51,48829,171.052,531,1,1.87919e+008
53,48829,146.314,435,5,8.13802e+007
55,48829,195.69,619,1,2.22107e+009
57,48829,170.631,577,2,1.74571e+008
59,48829,182.927,601,1,3.70807e+008
61,48829,158.855,534,3,9.19857e+007
63,48829,195.28,575,1,1.88577e+009
65,48829,171.137,575,2,1.56749e+008
67,48829,171.137,575,1,1.90297e+008
69,48829,146.314,435,4,8.13803e+007
71,48829,195.538,577,1,1.18488e+009
73,48829,195.927,576,2,1.30467e+009
75,48829,146.314,435,1,1.18444e+008
77,48829,170.632,588,3,1.5572e+008
79,48829,170.392,567,1,3.23725e+008
81,48829,170.632,588,2,1.5572e+008
83,48829,195.829,560,1,1.03096e+009
85,48829,134.049,420,8,7.76455e+007
87,48829,158.699,541,1,1.87901e+008
89,48829,171.112,621,2,1.50177e+008
91,48829,207.705,668,1,3.6719e+009
93,48829,158.683,517,3,9.42185e+007
95,48829,195.463,615,1,1.08826e+009
97,48829,183.31,579,2,3.95557e+008
99,48829,171.159,538,1,1.90776e+008
101,48829,171.159,538,4,1.57292e+008
103,48829,208.317,663,1,3.18724e+009
105,48829,183.352,578,2,3.82768e+008
107,48829,195.881,637,1,1.23709e+009
109,48829,195.635,582,3,2.19044e+009
111,48829,207.768,626,1,2.77735e+009
113,48829,134.049,420,2,7.76456e+007
115,48829,171.281,565,1,1.68122e+008
117,48829,158.729,469,5,9.26056e+007
119,48829,170.88,565,1,2.3499e+008
121,48829,195.476,624,2,1.66782e+009
123,48829,183.197,565,1,3.33655e+008
125,48829,183.362,562,3,3.52299e+008
127,48829,208.265,609,1,1.08357e+010
129,48828,183.66,596,2,3.13411e+008
131,48828,158.782,541,1,1.32542e+008
133,48828,158.782,541,4,9.63467e+007
135,48828,183.493,650,1,1.63149e+009
137,48828,208.506,610,2,4.25458e+009
139,48828,183.686,556,1,3.27431e+008
141,48828,146.611,515,3,8.05558e+007
143,48828,183.295,596,1,4.88488e+008
145,48828,183.15,577,2,4.2711e+008
147,48828,183.15,577,1,4.52597e+008
149,48828,158.461,530,6,8.99187e+007
151,48828,146.611,515,1,1.73442e+008
153,48828,171.383,571,2,1.53444e+008
155,48828,196.035,624,1,1.62518e+009
157,48828,170.785,510,3,1.54453e+008
159,48828,220.672,680,1,8.77432e+009
161,48828,196.221,617,2,9.65284e+008
163,48828,170.548,539,1,1.791e+008
165,48828,183.103,561,4,3.189e+008
167,48828,207.925,629,1,3.00538e+009
169,48828,208.441,687,2,3.56682e+009
171,48828,170.88,565,1,1.79952e+008
173,48828,158.668,515,3,9.56369e+007
175,48828,196.078,616,1,7.24306e+009
177,48828,170.881,539,2,1.44631e+008
179,48828,170.881,539,1,1.78121e+008
181,48828,146.615,518,5,8.18625e+007
183,48828,195.185,612,1,1.18415e+009
185,48828,183.494,539,2,4.44769e+008
187,48828,196.036,544,1,1.30633e+009
189,48828,183.175,616,3,2.93894e+008
191,48828,195.512,603,1,9.08726e+009
193,48828,171.718,580,2,1.73025e+008
195,48828,171.718,580,1,2.06551e+008
197,48828,158.788,539,4,9.99549e+007
199,48828,183.885,583,1,4.07316e+008
201,48828,159.302,537,2,1.55378e+008
203,48828,171.425,585,1,1.42693e+009
205,48828,158.788,539,3,9.99549e+007
207,48828,196.217,663,1,1.14341e+009
209,48828,183.137,569,2,3.3473e+008
211,48828,183.137,569,1,3.60229e+008
213,48828,134.016,415,7,7.70126e+007
215,48828,183.706,583,1,3.58911e+008
217,48828,170.989,539,2,1.47885e+008
219,48828,183.696,583,1,5.61912e+008
221,48828,183.228,583,3,3.4291e+008
223,48828,195.919,627,1,1.3005e+009
225,48828,208.41,690,2,2.98687e+009
227,48828,134.016,415,1,1.14379e+008
229,48828,171.192,569,4,1.51633e+008
231,48828,195.918,694,1,1.06673e+009
233,48828,183.306,619,2,6.73931e+009
