depth,nodes,branching_factor
0,1,0
1,1,1
2,1,1
3,1,1
4,1,1
5,2,2
6,2,1
7,4,2
8,4,1
9,6,1.5
10,6,1
11,8,1.33333
12,10,1.25
13,14,1.4
14,18,1.28571
15,24,1.33333
16,29,1.20833
17,36,1.24138
18,44,1.22222
19,58,1.31818
20,72,1.24138
21,91,1.26389
22,113,1.24176
23,143,1.26549
24,179,1.25175
25,227,1.26816
26,287,1.26432
27,366,1.27526
28,460,1.25683
29,578,1.25652
30,732,1.26644
31,926,1.26503
32,1174,1.26782
33,1489,1.26831
34,1879,1.26192
35,2365,1.25865
36,2988,1.26342
37,3780,1.26506
38,4788,1.26667
39,6049,1.26337
40,7628,1.26103
41,9635,1.26311
42,12190,1.26518
43,15409,1.26407
44,19452,1.26238
45,24561,1.26265
46,31025,1.26318
47,39229,1.26443
48,49580,1.26386
49,62680,1.26422
50,79255,1.26444
51,100144,1.26357
52,126542,1.2636
53,159930,1.26385
54,202085,1.26358
55,255455,1.2641
56,322869,1.2639
57,408002,1.26368
58,515542,1.26358
59,651407,1.26354
60,823238,1.26378
61,1040490,1.2639
62,1315036,1.26386
63,1661989,1.26384
64,2100225,1.26368
65,2654292,1.26381
66,3354457,1.26379
67,4238993,1.26369
68,5356968,1.26374
69,6769815,1.26374
70,8555171,1.26372
